53363,1698,63
What are you most excited for about Cyberpunk 2077?????,0.5651,165
I don’t know why talk about a game that will come out when I have grandkids,0.0,0
Damn YouTube you got me again with the fine sindy mf gooman,-0.2263,0
Sydnee looks sad in this video :(,-0.7184,0
For the first time I clicked on daily fix for the actual content,0.0,0
I already miss Jacki :(,-0.5423,0
"Pls, pls, pls for God's sake, stop doing that hand gesture at beginning.. soo annoying",0.0516,0
Is cyber punk actually gonna do all these things ??,0.0,0
it's called seamless quest design.,0.0,0
This is going to be the best game ever made lmao.,0.8442,0
Why is there such a stigma around umbrella academy and Gerald way of this depressed energy or emo stuff. Yeah his stuff is dark but a lot of people worked on the umbrella academy tv show just cause the creator is a producer for the show doesn’t mean it’s an emo band tv show. Also it’s like your shaming or like attacking the show for being an honest show that isn’t afraid to show how dark the world really can be. Just like nirvana hated being called grunge mcr hates the label emo cause it’s an arbitrary branding that people use to try to understand what’s generally out of their depth.,-0.1871,0
Okay Last Of Us Part 2 Vs Cyberpunk 2077 Must Be A Big Fight,-0.1779,0
Lol,0.4215,0
IGN: I hope your day is as awesome as you are.,0.7906,0
If u watch ign vids muted u can enjoy more the details. XD,0.84,1
0:21 - hope those are in game graphics. (Guns and gun case.) Mouth-watering stuff.,0.128,0
Cyberpunk - 300 GB.,0.0,1
That be pretty cool,0.6705,0
When you order a shirt online and it ends up being too big...,0.0,0
Probably the only collector edition I'll every buy,0.0,0
This is the modest cyndicate  can get,0.0,0
I just want a game with AI that can properly counter the way I play,0.4019,0
I LOVE UMBRELLA ACADEMY MINUS THE INCEST,0.6369,0
"HAHAHAHA IN GERMANY AVENGERS ENDGAME COMES OUT ON APRIL 23rd HAHAHA
I AM GONNA WATCH THE MOVIE 3 DAYS EARLIER!!!!!!",0.758,0
whoa just like half_life,0.3612,0
Used to want to buy this pretty badly but took so long to drop I'm over it now...,-0.3758,0
where is Naomi,0.0,0
"""I hope your day is as awesome as you are"" 
Wait. So if I'm not awesome, do I deserve a meh day?...",0.8957,0
Cyberpunk 2077 reveal trailer 2013 and release is still unknown lol,0.4215,0
Metal gear solid 5 did it first,0.1531,1
CD Red is the only trustworthy game company out there.,0.5574,2
I really hope Cyberpunk will not be a disappointment,0.7091,0
I got my tickets for Avengers Endgame Opening Night Fan Event at AMC theaters,0.3182,0
"Sydney’s so cute man I wouldn’t even want to pipe her down,just cuddle🤷‍♂️",0.5563,0
